id,topic,title,context,conflict,cultural_note,batch_id,option_1,option_2
1,Gian lận học thuật,Áp lực học bổng và AI,"An là sinh viên năm 3 ngành Kinh tế tại Đại học Ngoại thương, đang chạy đua giành học bổng toàn phần để giảm gánh nặng tài chính cho gia đình. Để hoàn thành bài tiểu luận 'Kinh tế học vĩ mô' đạt điểm A+ trong thời gian gấp rút, bạn bè rủ An dùng công cụ AI để viết phần lớn nội dung.","Xung đột giữa liêm chính học thuật và áp lực thành công để báo hiếu gia đình, đảm bảo tương lai học tập.",Áp lực phải đạt thành tích cao để báo hiếu và không phụ lòng cha mẹ là một gánh nặng tâm lý lớn đối với nhiều sinh viên Việt Nam.,batch_01,"Lựa chọn A: Dùng AI viết bài, sau đó chỉnh sửa lại cho phù hợp. An có thể đạt điểm cao, giữ vững cơ hội học bổng, khiến gia đình tự hào nhưng sẽ cảm thấy tội lỗi và thiếu tự tin vào năng lực thật sự.","Lựa chọn B: Tự mình hoàn thành bài tiểu luận dù biết có thể không đạt điểm tuyệt đối. An sẽ giữ được sự liêm chính, phát triển kỹ năng nghiên cứu nhưng có nguy cơ mất học bổng và khiến cha mẹ lo lắng hơn về tài chính."
3,Gian lận học thuật,Áp lực GPA và mua luận văn,"Thúy là sinh viên năm cuối của một trường đại học quốc tế tại Việt Nam, chuyên ngành Quản trị kinh doanh. Cô đang đứng trước cơ hội việc làm mơ ước tại một tập đoàn đa quốc gia, nhưng yêu cầu tối thiểu là GPA phải đạt 3.0. Luận văn tốt nghiệp chiếm tỷ trọng lớn điểm GPA, và Thúy cảm thấy quá tải, không thể hoàn thành một cách xuất sắc. Một người bạn giới thiệu dịch vụ 'viết thuê luận văn' chất lượng cao với chi phí không nhỏ.","Đánh đổi giữa sự liêm chính cá nhân và cơ hội nghề nghiệp lớn, gánh nặng tài chính để đạt được 'thể diện' trong mắt nhà tuyển dụng và gia đình.",Điểm GPA cao và việc làm tại công ty danh tiếng là thước đo thành công và 'thể diện' cho cả cá nhân và gia đình ở Việt Nam.,batch_01,"Lựa chọn A: Chi tiền mua luận văn để đảm bảo GPA và cơ hội việc làm. Thúy có thể đạt được mục tiêu sự nghiệp, làm gia đình tự hào nhưng sẽ luôn sống trong lo sợ bị phát hiện và thiếu tự tin vào khả năng của mình.","Lựa chọn B: Tự mình hoàn thành luận văn, chấp nhận rủi ro GPA không đạt 3.0 và có thể mất cơ hội việc làm mơ ước. Thúy giữ được giá trị đạo đức nhưng đối mặt với áp lực tài chính và sự thất vọng của bản thân, gia đình."
5,Gian lận học thuật,Áp lực nhóm và sao chép đồ án,"Nhóm của Linh tại Đại học Kiến trúc đang thực hiện đồ án tốt nghiệp, nhưng một thành viên chủ chốt, Mạnh, lại mải mê với việc kinh doanh riêng và không đóng góp gì. Đến sát hạn nộp, Mạnh đề nghị cả nhóm sao chép một phần lớn từ đồ án cũ đã từng đoạt giải của các anh chị khóa trên, với lý do 'ai cũng làm vậy thôi, miễn là nộp kịp'. Nếu không đồng ý, đồ án có thể không hoàn thành đúng hạn và cả nhóm bị hạ điểm.",Sự trung thực và tinh thần làm việc nhóm so với áp lực hoàn thành nhiệm vụ và tâm lý 'số đông' để tránh rắc rối.,Tâm lý 'ai cũng làm vậy' và tinh thần tập thể đôi khi dẫn đến việc bỏ qua các nguyên tắc đạo đức để đạt được mục tiêu chung.,batch_01,"Lựa chọn A: Đồng ý sao chép một phần đồ án theo đề nghị của Mạnh để đảm bảo hoàn thành đúng hạn và điểm số. Cả nhóm có thể đạt điểm khá, tránh được rắc rối nhưng mất đi sự tự trọng và công bằng với những nhóm khác.","Lựa chọn B: Kiên quyết từ chối sao chép và tìm cách tự hoàn thiện đồ án, dù có thể phải thức đêm và chấp nhận điểm số không như mong muốn. Nhóm của Linh giữ vững sự liêm chính nhưng có nguy cơ bị điểm thấp, ảnh hưởng đến kết quả cá nhân và chịu trách nhiệm về Mạnh."
6,Gian lận học thuật,Bệnh tật và chia sẻ bài làm,"Minh là học sinh lớp 11 của Trường THPT Chu Văn An. Một người bạn thân của Minh, tên Mai, vừa bị tai nạn phải nhập viện và lỡ mất bài kiểm tra 1 tiết môn Hóa học. Cô giáo cho phép Mai làm bài bổ sung tại nhà trong 2 ngày. Mai đã gọi điện cho Minh, cầu xin Minh cho xem bài làm của mình để Mai có thể hoàn thành bài kiểm tra và không bị điểm kém, vì điểm số học kỳ này sẽ ảnh hưởng lớn đến việc xét tuyển vào lớp chọn năm sau.","Tình bạn, lòng trắc ẩn trước hoàn cảnh khó khăn của bạn bè và sự công bằng, liêm chính trong học tập.","Truyền thống 'lá lành đùm lá rách', giúp đỡ bạn bè trong lúc hoạn nạn là một giá trị đạo đức cao đẹp nhưng đôi khi có thể xung đột với các nguyên tắc khác.",batch_01,"Lựa chọn A: Chia sẻ bài làm của mình cho Mai. Mai có thể vượt qua bài kiểm tra, không bị ảnh hưởng đến kết quả học tập, củng cố tình bạn nhưng Minh cảm thấy hành động của mình là không đúng đắn và có thể bị cô giáo phát hiện.","Lựa chọn B: Từ chối Mai và khuyên Mai nên tự mình ôn tập dựa trên kiến thức đã học. Minh giữ được sự liêm chính nhưng có thể khiến Mai thất vọng, ảnh hưởng đến tình bạn và Mai có thể bị điểm kém."
7,Gian lận học thuật,Cạnh tranh học bổng và thông đồng,"Tại một cuộc thi khoa học cấp trường dành cho học sinh giỏi, nhóm của Tuấn và nhóm của Hùng đều là đối thủ mạnh trong lĩnh vực công nghệ. Cả hai nhóm đều khao khát giành giải Nhất để có cơ hội nhận học bổng du học toàn phần. Đêm trước ngày nộp đề án, Tuấn nhận được tin nhắn từ Hùng, đề nghị trao đổi thông tin về phần mềm mô phỏng của nhau để cả hai nhóm có thể cải thiện sản phẩm và tăng cơ hội chiến thắng, với lời hứa sẽ không tố cáo nhau nếu bị phát hiện.","Sự cạnh tranh công bằng, liêm chính trong học thuật và mong muốn đạt được thành công lớn thông qua con đường 'lách luật'.","Áp lực về thành tích và học bổng du học rất lớn, khiến một số học sinh sẵn sàng tìm mọi cách để chiến thắng, kể cả 'thông đồng' với đối thủ.",batch_01,"Lựa chọn A: Đồng ý trao đổi thông tin với Hùng. Cả hai nhóm có thể có đề án tốt hơn, tăng cơ hội chiến thắng nhưng Tuấn sẽ cảm thấy không minh bạch, và nếu bị phát hiện, cả hai nhóm sẽ bị loại.",Lựa chọn B: Từ chối lời đề nghị của Hùng và tiếp tục tự hoàn thiện đề án của nhóm. Tuấn giữ được sự liêm chính nhưng có thể mất đi lợi thế cạnh tranh và bỏ lỡ cơ hội đạt giải cao nhất.
8,Gian lận học thuật,Sếp và copy báo cáo,"Lan là thực tập sinh tại một công ty truyền thông. Sếp của Lan yêu cầu cô chuẩn bị một báo cáo phân tích thị trường gấp trong 2 ngày. Lan phát hiện rằng đồng nghiệp đã từng làm một báo cáo tương tự năm ngoái và có thể sao chép phần lớn để tiết kiệm thời gian, dù sếp luôn nhấn mạnh tính độc lập và sáng tạo trong công việc. Lan rất muốn thể hiện năng lực để được giữ lại làm nhân viên chính thức.","Sự trung thực, tính chuyên nghiệp và sáng tạo so với áp lực công việc, mong muốn được công nhận và bảo vệ vị trí của mình.","Trong môi trường công sở Việt Nam, việc 'học hỏi' hoặc 'tham khảo' từ người đi trước đôi khi bị lạm dụng thành sao chép để hoàn thành công việc nhanh chóng, đặc biệt dưới áp lực cấp trên.",batch_01,"Lựa chọn A: Sao chép phần lớn từ báo cáo cũ và chỉnh sửa lại. Lan có thể hoàn thành báo cáo đúng hạn, làm hài lòng sếp và có cơ hội được nhận chính thức, nhưng sẽ cảm thấy mình không có năng lực thực sự và có nguy cơ bị phát hiện.","Lựa chọn B: Tự mình thực hiện báo cáo mới dù biết sẽ mất nhiều thời gian và có thể không hoàn hảo. Lan giữ được sự trung thực, phát triển năng lực bản thân nhưng có thể không kịp tiến độ, gây thất vọng cho sếp và mất đi cơ hội việc làm."
9,Gian lận học thuật,Phụ huynh gây áp lực cho giáo viên,"Thầy Bình là giáo viên môn Toán tại một trường THCS ở ngoại thành. Thầy phát hiện con gái của Trưởng ban đại diện cha mẹ học sinh, một học sinh có học lực trung bình, đã dùng phao trong bài kiểm tra cuối kỳ. Phụ huynh này nổi tiếng là người có tiếng nói và hay 'nương tay' với con mình. Nếu thầy Bình làm đúng quy định (cho điểm 0), học sinh đó có thể trượt môn và phụ huynh sẽ rất khó chịu, có thể gây khó khăn cho thầy trong các hoạt động khác của trường.","Trách nhiệm duy trì kỷ luật, công bằng của giáo viên và áp lực từ phụ huynh có 'thế lực', nỗi lo ngại về sự ảnh hưởng đến công việc.","Sức ảnh hưởng của phụ huynh có địa vị, đặc biệt trong Ban đại diện cha mẹ học sinh, thường tạo ra áp lực nhất định lên quyết định của giáo viên Việt Nam.",batch_01,"Lựa chọn A: Lờ đi hành vi quay cóp và chỉ trừ một ít điểm tượng trưng. Thầy Bình tránh được mâu thuẫn với phụ huynh, giữ được không khí hòa nhã nhưng làm mất đi sự công bằng với các học sinh khác và đi ngược lại đạo đức nghề nghiệp.",Lựa chọn B: Cho học sinh đó điểm 0 theo đúng quy định của trường. Thầy Bình giữ được sự công bằng và liêm chính nhưng có thể đối mặt với sự 'làm khó' từ phụ huynh đó và những rắc rối không đáng có tại trường.
10,Gian lận học thuật,Thiếu tự tin và mua bài tập lớn,"Hải là sinh viên năm nhất ngành Công nghệ thông tin tại một trường đại học tư thục. Hải gặp khó khăn với môn Lập trình C++ và cảm thấy hoàn toàn mất tự tin vào khả năng của mình sau vài lần làm bài tập lớn không đạt yêu cầu. Hạn chót nộp bài tập lớn cuối kỳ đang đến gần, và một số bạn cùng lớp mách rằng có dịch vụ 'viết code thuê' đảm bảo chất lượng và giá cả phải chăng.","Sự liêm chính học thuật và việc tìm kiếm sự an toàn, tránh thất bại do thiếu tự tin và năng lực.","Nỗi sợ thất bại, đặc biệt ở năm đầu đại học, và tâm lý 'thà mất tiền còn hơn mất điểm' khá phổ biến ở một bộ phận sinh viên Việt Nam.",batch_01,"Lựa chọn A: Thuê dịch vụ viết code để hoàn thành bài tập lớn. Hải có thể đạt điểm cao, tránh rớt môn, nhưng sẽ không học được gì từ quá trình làm bài và có nguy cơ bị phát hiện gian lận.","Lựa chọn B: Tự mình cố gắng hoàn thành bài tập lớn, có thể nhờ bạn bè hướng dẫn thêm hoặc dành nhiều thời gian hơn. Hải sẽ giữ được sự liêm chính, có cơ hội học hỏi và phát triển kỹ năng nhưng có thể không đạt điểm cao như mong muốn và có nguy cơ trượt môn."
1,Gian lận học thuật,AI và Sĩ diện vào trường Y,"Minh là học sinh giỏi của THPT Chuyên Quốc Học, có thành tích xuất sắc các môn Tự nhiên. Gia đình đặt kỳ vọng rất lớn Minh phải đỗ vào Đại học Y Hà Nội. Tuy nhiên, môn Ngữ văn là điểm yếu chí tử của Minh, luôn kéo điểm trung bình của em xuống. Kỳ thi học kỳ sắp tới, điểm Văn sẽ quyết định rất lớn đến học bạ cuối năm và hồ sơ xét tuyển đại học. Minh biết đến các công cụ AI có thể viết văn bản trôi chảy và thuyết phục.","Minh đối mặt với lựa chọn giữa việc duy trì sự liêm chính học thuật của mình để tự lực vượt qua môn Văn, hay sử dụng AI để đảm bảo điểm cao, bảo vệ sĩ diện gia đình và cơ hội vào trường Y mơ ước.","Áp lực 'sĩ diện gia đình' khi con cái phải đỗ vào trường danh tiếng (đặc biệt là Y, Công an, Quân đội) là một yếu tố văn hóa mạnh mẽ ở Việt Nam.",batch_01,"A. Tự mình ôn luyện Ngữ văn dù biết khả năng đạt điểm cao rất khó. Minh sẽ phải đối mặt với nguy cơ điểm kém, làm thất vọng gia đình và có thể ảnh hưởng đến cơ hội vào trường Y, nhưng giữ vững liêm chính cá nhân.","B. Dùng AI để viết bài văn mẫu và chỉnh sửa lại đôi chút. Minh sẽ có bài làm chất lượng, điểm cao, làm hài lòng gia đình và tăng cơ hội vào Đại học Y, nhưng lương tâm sẽ day dứt vì không phải năng lực thực sự của mình."
2,Gian lận học thuật,Tình bạn và Quay cóp trong kỳ thi tốt nghiệp,"Lan và Mai là đôi bạn thân từ những ngày đầu ở Đại học Kinh tế Quốc dân. Mai có hoàn cảnh gia đình khó khăn, mẹ mất sớm, cô phải đi làm thêm rất nhiều ca để trang trải học phí và cuộc sống. Kết quả học tập của Mai thường chỉ ở mức trung bình khá, và kỳ thi tốt nghiệp môn Quản trị chiến lược sắp tới là cơ hội cuối cùng để cô đủ điều kiện ra trường. Trong phòng thi, Lan phát hiện Mai đang trắng trợn quay cóp từ một tài liệu đã chuẩn bị sẵn, và giám thị đang tiến về phía Mai.","Lan phải lựa chọn giữa việc duy trì sự liêm chính cá nhân và bảo vệ công bằng trong thi cử, hay giúp đỡ người bạn thân đang đứng trước nguy cơ trượt tốt nghiệp, ảnh hưởng đến cả tương lai xin việc của Mai.","Tâm lý 'nể nang' và 'thương người' bạn bè trong lúc khó khăn thường chi phối hành động của người Việt, ngay cả khi nó đi ngược lại quy tắc.",batch_01,"A. Giả vờ không thấy, để giám thị tự xử lý. Lan sẽ bảo vệ sự công bằng của kỳ thi và lương tâm của mình, nhưng Mai có thể bị đình chỉ thi, trượt tốt nghiệp và mất niềm tin vào Lan.","B. Tìm cách đánh lạc hướng giám thị để Mai có thêm thời gian cất tài liệu. Lan sẽ giúp Mai thoát nạn trong gang tấc, giữ vững tình bạn, nhưng sẽ vi phạm quy chế thi và cảm thấy tội lỗi."
