id,topic,title,context,conflict,cultural_note,batch_id,option_1,option_2,option_3,option_label,slot_bias,slot_dimension
1,Quan hệ thầy trò,Đổi mới hay Ổn định: Lựa chọn của Khôi,"Nguyễn Minh Khôi, học sinh lớp 12A1 trường THPT Trần Phú tại TP. Hồ Chí Minh, luôn có niềm đam mê đặc biệt với Hóa học. Em đã nung nấu ý tưởng về một dự án nghiên cứu cá nhân để tìm ra phương pháp tổng hợp phân bón hữu cơ từ phế thải nông nghiệp, hoàn toàn nằm ngoài chương trình và phương pháp học truyền thống. Khôi đã trình bày ý tưởng này với thầy Phan Anh Tuấn, giáo viên chủ nhiệm và cũng là giáo viên Hóa của em, mong muốn được hỗ trợ và có một con đường học tập riêng biệt cho học kỳ cuối cấp.","Xung đột nảy sinh giữa mong muốn đổi mới, cá nhân hóa việc học của Minh Khôi và những lo ngại của thầy Tuấn cùng nhà trường về hiệu quả, rủi ro, cũng như trách nhiệm quản lý một phương pháp học tập không theo chuẩn đã định.","Nỗi lo sợ trách nhiệm, nguy cơ 'phá vỡ' sự ổn định và thói quen tuân thủ các quy trình đã được kiểm chứng trong hệ thống giáo dục Việt Nam là yếu tố văn hóa chính chi phối quyết định của thầy Tuấn và nhà trường.",batch_02,"Khôi quyết tâm theo đuổi dự án của mình với sự hỗ trợ hạn chế từ thầy Tuấn, coi đó là một 'luồng gió mới' trong hành trình học tập. Tuy nhiên, nếu dự án không thành công hoặc không mang lại kết quả học tập như mong đợi, Khôi có thể chịu áp lực lớn và ảnh hưởng đến kết quả thi tốt nghiệp, trong khi thầy Tuấn và nhà trường phải đối mặt với nguy cơ bị đánh giá là 'liều lĩnh' hoặc 'không kiểm soát được' chất lượng giáo dục, ảnh hưởng đến uy tín.","Khôi chấp nhận quay trở lại với phương pháp học truyền thống, tập trung vào giáo trình và các bài kiểm tra theo cấu trúc đã định, từ bỏ dự án cá nhân. Điều này giúp đảm bảo sự an toàn và ổn định trong học tập, giúp Khôi tập trung ôn thi tốt nghiệp theo lộ trình quen thuộc, đồng thời thầy Tuấn và nhà trường không phải chịu trách nhiệm cho những thử nghiệm chưa được kiểm chứng. Mặt khác, Khôi có thể cảm thấy thất vọng, bị kìm hãm sự sáng tạo và đam mê, mất đi cơ hội phát triển theo hướng độc đáo của bản thân, và nhà trường bỏ lỡ cơ hội khám phá những tiềm năng học tập mới.","Lựa chọn C: Khôi tìm đến một giáo viên khác mà em tin tưởng (ví dụ: cô Mai, tổ trưởng tổ Hóa) để nhờ cô làm cầu nối, trình bày lại ý tưởng dự án của mình một cách bài bản và có tính khả thi hơn với thầy Tuấn và Ban Giám hiệu, đồng thời đề xuất một kế hoạch thí điểm có giám sát chặt chẽ. Điều này giúp giảm bớt áp lực đối đầu trực tiếp giữa Khôi và thầy Tuấn, mở ra một kênh đối thoại mới và có thể giúp ý tưởng của Khôi được xem xét một cách khách quan hơn, có cơ hội được chấp thuận với những điều chỉnh phù hợp. Tuy nhiên, thông điệp ban đầu của Khôi có thể bị ""làm mềm"" hoặc thay đổi ít nhiều qua người trung gian, khiến dự án có thể không còn giữ được trọn vẹn tinh thần ban đầu, và quá trình này cũng tốn thời gian, có thể không mang lại kết quả như mong đợi nếu cô Mai không thể truyền tải hết tâm huyết của Khôi hoặc không đủ sức thuyết phục.",ABC,VN_bias,Uncertainty Avoidance
2,Quan hệ thầy trò,Lựa chọn giữa công bằng và tôn sư,"Lan, một học sinh giỏi và trung thực của lớp 9A trường THCS Nguyễn Trãi, xã An Phú, vừa phát hiện điều không minh bạch. Thầy Tuấn, giáo viên chủ nhiệm và cũng là người dạy thêm môn Toán, đã lén lút gợi ý rất rõ các dạng bài trọng tâm, thậm chí là trực tiếp ""lộ"" một số câu hỏi có trong đề kiểm tra cuối kỳ cho nhóm học sinh theo học lớp của thầy. Điều này tạo ra một lợi thế không công bằng cho các bạn đóng tiền đi học thêm so với các bạn khác trong lớp.","Lan đứng trước lựa chọn khó khăn: giữ im lặng để tránh rắc rối và không ""phạm thượng"" với thầy, hay tố cáo hành vi không minh bạch của thầy để bảo vệ sự công bằng trong giáo dục?","Quan niệm ""tôn sư trọng đạo"" tuyệt đối và áp lực không được ""bật"" người lớn trong xã hội Việt Nam chi phối rất lớn đến quyết định của Lan.",batch_02,"Lan quyết định giữ im lặng, không nói ra sự thật với bất kỳ ai, tiếp tục học tập bình thường và cố gắng đạt kết quả tốt nhất bằng chính năng lực của mình. Hệ quả tốt: Em tránh được mọi rắc rối cá nhân, không bị thầy trù dập hay bị bạn bè xa lánh vì ""tố"" thầy. Bố mẹ em cũng sẽ không phải lo lắng hay trách mắng em vì ""không biết điều"". Hệ quả xấu: Lan sẽ cảm thấy day dứt vì đã không đứng lên bảo vệ sự công bằng, nội tâm em có thể bị giày vò bởi cảm giác đồng lõa với một hành vi không đúng đắn, và những học sinh không có điều kiện đi học thêm vẫn tiếp tục chịu thiệt thòi.","Lan thu thập bằng chứng một cách kín đáo (nếu có thể) và mạnh dạn trình bày sự việc lên Ban Giám hiệu nhà trường hoặc qua đường dây nóng của Sở Giáo dục. Hệ quả tốt: Em đã làm đúng lương tâm, bảo vệ được sự công bằng cho tất cả các bạn học sinh, giúp nhà trường chấn chỉnh được tình trạng tiêu cực, và góp phần xây dựng môi trường học đường minh bạch hơn. Hệ quả xấu: Lan có nguy cơ rất cao bị thầy Tuấn trù dập trong học tập và đánh giá hạnh kiểm, bị bạn bè, thậm chí cả một số phụ huynh coi là ""đứa học sinh hỗn láo"", ""phạm thượng"", làm mất mặt thầy. Em có thể đối mặt với áp lực tâm lý nặng nề và sự cô lập, ảnh hưởng đến kết quả học tập và tinh thần.","Lựa chọn C: Lan tìm đến một giáo viên khác mà em tin tưởng (ví dụ: giáo viên chủ nhiệm cũ, giáo viên bộ môn khác có uy tín) để tâm sự về sự việc và nhờ thầy/cô ấy tìm cách góp ý tế nhị với thầy Tuấn hoặc báo cáo lên Ban Giám hiệu một cách khéo léo, giữ kín danh tính người phản ánh. Hệ quả tốt: Lan tránh được việc trực tiếp đối đầu với thầy Tuấn, giảm thiểu nguy cơ bị trù dập và vẫn có thể góp phần chấn chỉnh tình hình. Thầy Tuấn có thể được nhắc nhở và có cơ hội điều chỉnh hành vi mà vẫn giữ được thể diện. Hệ quả xấu: Thông điệp có thể bị làm yếu đi, bị bỏ qua hoặc không được xử lý triệt để nếu giáo viên trung gian không đủ mạnh dạn hoặc không xử lý khéo léo. Vấn đề có thể không được giải quyết dứt điểm, và Lan vẫn có thể bị nghi ngờ là người đã “mách lẻo” nếu thông tin bị lộ, dù không trực tiếp.",ABC,VN_bias,Power Distance
3,Quan hệ thầy trò,Áp Lực Quyền Lực Trong Lớp Học,"Cô Trần Thị Lan, một giáo viên trẻ và đầy nhiệt huyết, là chủ nhiệm lớp 2A tại Trường Tiểu học Hoa Sen, một trường công lập có tiếng tại thành phố. Gần đây, cô Lan nhận thấy em Lê Hoàng Nam, con trai của ông Lê Văn Long – Trưởng phòng Giáo dục và Đào tạo quận, thường xuyên có những hành vi trêu chọc, giật đồ và cô lập bạn Minh Khang. Dù chưa gây thương tích nghiêm trọng, Minh Khang, một học sinh nhút nhát, đã bắt đầu sợ hãi việc đến trường và có biểu hiện lo âu rõ rệt.","Cô Lan phải đối mặt với lựa chọn đạo đức: Can thiệp mạnh mẽ để bảo vệ học sinh bị bắt nạt và duy trì sự công bằng trong lớp, hay giữ im lặng, làm giảm nhẹ vấn đề để tránh làm mất lòng phụ huynh có địa vị và gây rắc rối cho bản thân cũng như nhà trường?","Văn hóa 'dĩ hòa vi quý' và sự nể nang người có địa vị trong xã hội Việt Nam đã đặt cô Lan vào tình thế khó xử, giữa đạo đức nghề nghiệp và áp lực giữ mối quan hệ xã hội.",batch_02,"Cô Lan quyết định gặp trực tiếp ông Lê Văn Long để trao đổi thẳng thắn về hành vi của Nam và đề nghị phối hợp giáo dục. Hệ quả tốt: Bảo vệ được Minh Khang, thể hiện trách nhiệm và sự công bằng của giáo viên, tạo môi trường học tập lành mạnh hơn. Hệ quả xấu: Có thể làm phật ý ông Long, gây khó khăn cho sự nghiệp của cô Lan, khiến cô bị nhà trường đánh giá là 'không khéo léo' hoặc 'gây chuyện', làm căng thẳng mối quan hệ giữa nhà trường và phụ huynh có ảnh hưởng.","Cô Lan chỉ nhắc nhở Nam qua loa trong lớp và tìm cách xoa dịu Minh Khang một cách kín đáo, đồng thời phớt lờ những hành vi nhỏ của Nam, coi đó là 'chuyện trẻ con' để tránh làm lớn chuyện. Hệ quả tốt: Giữ được mối quan hệ tốt với phụ huynh có địa vị, đảm bảo sự 'yên ổn' cho bản thân và nhà trường, tránh được rắc rối hay áp lực từ cấp trên. Hệ quả xấu: Nam có thể tiếp tục hành vi bắt nạt, Minh Khang và các bạn khác tiếp tục chịu đựng, cô Lan cảm thấy day dứt lương tâm và môi trường học đường không thực sự công bằng, thiết lập tiền lệ xấu cho học sinh về việc quyền lực có thể vượt trên lẽ phải.",,AB,VN_bias,Power Distance
4,Quan hệ thầy trò,Áp lực học thêm: Tương lai hay đam mê?,"An là một học sinh xuất sắc của lớp 12 Toán 1, trường THPT Chuyên Nguyễn Bỉnh Khiêm, một ngôi trường danh tiếng ở thành phố. Tuy nhiên, cậu có niềm đam mê lớn với nhiếp ảnh và thường dành thời gian cuối tuần cho sở thích này. Thầy Minh, giáo viên chủ nhiệm kiêm dạy Toán, đang tổ chức các lớp phụ đạo cường độ cao buổi tối và cuối tuần, nhấn mạnh tầm quan trọng của việc chuẩn bị cho kỳ thi Đại học với mục tiêu vào các trường top như Bách Khoa hoặc Y Dược.","An đang đứng trước lựa chọn khó khăn: từ bỏ thời gian riêng cho bản thân và sở thích để đáp ứng kỳ vọng của thầy cô, gia đình nhằm đảm bảo tương lai học vấn, hay kiên quyết bảo vệ quyền được nghỉ ngơi và phát triển cá nhân, dù điều đó có thể ảnh hưởng đến kết quả thi cử và làm thất vọng những người thân yêu.","Áp lực học tập và kỳ vọng của gia đình, thầy cô giáo ở Việt Nam là rất lớn, với quan niệm rằng học sinh phải 'chịu khổ' và 'hy sinh' hiện tại để có được thành công lớn trong tương lai, đặc biệt là vào các trường đại học danh tiếng, nhằm đảm bảo thể diện và địa vị xã hội.",batch_02,"An quyết định nghe theo lời thầy Minh, gác lại niềm đam mê nhiếp ảnh và dồn toàn lực vào các buổi học phụ đạo thêm giờ. Điều này giúp An củng cố kiến thức, làm hài lòng thầy cô và gia đình, nâng cao cơ hội đỗ vào trường đại học mơ ước. Tuy nhiên, An phải đối mặt với sự mệt mỏi, căng thẳng kéo dài, có thể dẫn đến burnout và cảm giác mất mát khi phải từ bỏ sở thích quan trọng của mình.","An thẳng thắn trình bày với thầy Minh về mong muốn được cân bằng giữa học tập và nghỉ ngơi, xin phép giảm tần suất hoặc không tham gia một số buổi phụ đạo để có thời gian cho bản thân. Điều này giúp An duy trì sức khỏe tinh thần, phát triển sở thích cá nhân và tránh quá tải. Đổi lại, An có nguy cơ bị thầy Minh và gia đình hiểu lầm là thiếu ý chí, không nghiêm túc, làm phật ý thầy và có thể ảnh hưởng đến kết quả thi cuối cấp cũng như kỳ vọng vào đại học top đầu.","Lựa chọn C: An tâm sự với bố mẹ về áp lực học thêm và mong muốn có thời gian cho sở thích nhiếp ảnh, nhờ bố mẹ khéo léo trao đổi với thầy Minh hoặc tìm cách giảm bớt số buổi học phụ đạo. Điều này giúp An tránh đối đầu trực tiếp với thầy, giữ thể diện cho cả hai bên và có thể nhận được sự ủng hộ từ gia đình. Tuy nhiên, thông điệp của An có thể bị bố mẹ làm yếu đi hoặc biến đổi, thầy Minh có thể không hoàn toàn hiểu được nguyện vọng của An, hoặc thậm chí cảm thấy bị phụ huynh can thiệp làm ảnh hưởng đến uy tín của mình.",ABC,EU_bias,Individualism vs Collectivism
5,Quan hệ thầy trò,Hợp tác hay Cạnh tranh: Lựa chọn của Cô Mai,"Cô Mai, giáo viên chủ nhiệm lớp 3A tại Trường Quốc tế Ánh Dương, luôn tâm huyết xây dựng một môi trường học tập khuyến khích sự hợp tác, cảm thông và phát triển kỹ năng mềm cho học sinh. Tuy nhiên, sau buổi họp phụ huynh cuối kì 1, nhiều phụ huynh, đặc biệt là Anh Tuấn - đại diện hội phụ huynh, đã bày tỏ sự không hài lòng khi thấy kết quả thi đua và điểm số của lớp chưa 'đứng đầu' khối, so với các lớp khác đẩy mạnh ôn luyện kiến thức. Họ mong muốn cô Mai thay đổi phương pháp, tập trung hơn vào việc đẩy mạnh cạnh tranh thành tích và kết quả học tập để con em họ có ưu thế trong các kì thi sắp tới và giữ thể diện cho lớp.","Cô Mai đứng trước lựa chọn khó khăn: tiếp tục theo đuổi triết lý giáo dục phát triển toàn diện của mình hay thay đổi để đáp ứng yêu cầu của phụ huynh, những người đặt nặng thành tích và kết quả học tập.","Yếu tố văn hóa 'học giỏi', 'đứng đầu' để giữ thể diện và vị thế xã hội, coi trọng thành tích học tập là thước đo chính của sự thành công đã chi phối mạnh mẽ quyết định của phụ huynh trong tình huống này.",batch_02,"Cô Mai giữ vững phương pháp giáo dục hiện tại, tiếp tục các hoạt động nhóm, dự án kỹ năng mềm và khuyến khích học sinh giúp đỡ lẫn nhau. Kết quả là học sinh sẽ phát triển kỹ năng xã hội, cảm thông và sáng tạo, tạo môi trường học tập vui vẻ, tích cực; nhưng phụ huynh có thể ngày càng không hài lòng, gửi đơn kiến nghị lên ban giám hiệu, và học sinh có thể bị thiệt thòi về điểm số trong các kì kiểm tra so với lớp khác, dẫn đến áp lực từ bạn bè hoặc tự ti về thành tích.","Cô Mai điều chỉnh phương pháp, dành nhiều thời gian hơn cho việc luyện tập kiến thức, tổ chức các cuộc thi đua cá nhân, xếp hạng học sinh dựa trên điểm số, và giảm bớt các hoạt động nhóm, kỹ năng mềm. Kết quả là phụ huynh sẽ hài lòng, tin tưởng hơn khi thấy điểm số của học sinh cải thiện, và thể diện của lớp được giữ vững; nhưng học sinh có thể chịu áp lực học tập lớn, dễ nảy sinh tâm lý đố kỵ, thiếu tinh thần hợp tác, và môi trường lớp học có thể trở nên căng thẳng, mất đi sự vui vẻ tự nhiên.","Lựa chọn C: Cô Mai chủ động gặp Ban Giám hiệu để trình bày về triết lý giáo dục của mình và những lo ngại từ phụ huynh, sau đó đề xuất Ban Giám hiệu tổ chức một buổi gặp mặt riêng với đại diện phụ huynh (như Anh Tuấn) để lắng nghe và chia sẻ quan điểm của nhà trường về mục tiêu giáo dục toàn diện, nhấn mạnh sự phù hợp với chương trình quốc tế. Kết quả là thông điệp được truyền tải qua cấp quản lý, giảm xung đột trực tiếp và giữ thể diện cho cả cô Mai lẫn phụ huynh, đồng thời phụ huynh có thể cảm thấy được lắng nghe và tôn trọng hơn; nhưng thông điệp có thể bị làm yếu đi nếu Ban Giám hiệu không truyền đạt đủ kiên quyết, vấn đề không được giải quyết triệt để, và cô Mai vẫn có thể đối mặt với áp lực ngầm nếu phụ huynh không thay đổi quan điểm.",ABC,VN_bias,Masculinity vs Femininity
6,Quan hệ thầy trò,Đề tài tốt nghiệp: Đột phá hay an toàn?,"Mai, sinh viên năm cuối Khoa Công nghệ Thông tin tại Đại học Khoa học Tự nhiên, ĐHQG-HCM, ấp ủ đề tài tốt nghiệp đột phá: ""Ứng dụng AI tạo sinh trong phân tích chuỗi gen hiếm gặp"". Đây là một lĩnh vực cực kỳ mới mẻ, chưa có giáo sư nào trong khoa hay thậm chí trong trường có kinh nghiệm chuyên sâu để hướng dẫn, khiến đề xuất của Mai gặp khó khăn lớn khi trình lên Hội đồng khoa học do thầy Sơn, Trưởng khoa, chủ trì.","Mai đứng trước lựa chọn giữa việc kiên trì theo đuổi đam mê nghiên cứu tiên phong nhưng đầy rủi ro và không chắc chắn về người hướng dẫn, hay chọn một đề tài an toàn, truyền thống hơn để đảm bảo khả năng tốt nghiệp đúng hạn.","Văn hóa học thuật tại Việt Nam thường ưu tiên sự an toàn, các đề tài có tiền lệ rõ ràng và khả năng thành công cao để tránh rủi ro ảnh hưởng đến uy tín và thành tích chung của khoa và giảng viên.",batch_02,"Kiên trì thuyết phục khoa và tìm kiếm sự hỗ trợ bên ngoài. Mai tiếp tục trình bày tầm quan trọng và tiềm năng của đề tài, đồng thời chủ động liên hệ với các chuyên gia bên ngoài trường (có thể là viện nghiên cứu, công ty công nghệ) để tìm kiếm cố vấn hoặc người đồng hướng dẫn.","Chấp nhận lựa chọn một đề tài khác an toàn hơn theo gợi ý của khoa. Mai chọn một đề tài trong danh sách các lĩnh vực đã có sẵn người hướng dẫn, ví dụ ""Phát triển hệ thống nhận diện khuôn mặt sử dụng thuật toán học sâu"" dưới sự hướng dẫn của thầy Sơn, Trưởng khoa.","Lựa chọn C: Mai tìm gặp một giảng viên trẻ trong khoa, người có mối quan hệ thân thiết và được thầy Sơn tin tưởng, để nhờ người này khéo léo trình bày lại với thầy về tiềm năng đột phá của đề tài AI tạo sinh và khát vọng nghiên cứu của mình, đồng thời gợi mở về khả năng tìm kiếm cố vấn chuyên môn từ bên ngoài. Hệ quả: Giảm thiểu xung đột trực tiếp và giữ thể diện cho cả Mai lẫn Hội đồng, mở ra cơ hội cho đề tài được xem xét lại một cách mềm mỏng hơn. Tuy nhiên, thông điệp có thể bị truyền tải không đầy đủ hoặc bị làm yếu đi, khiến đề tài không nhận được sự ủng hộ mạnh mẽ như Mai mong đợi.",ABC,EU_bias,Uncertainty Avoidance
7,Quan hệ thầy trò,Áp lực tập thể: Kế hoạch cá nhân và thành tích lớp,"Minh, học sinh lớp 8A Trường THCS Hoa Sen, đã lên lịch đi thăm bà ngoại đang nằm viện ở tỉnh cùng bố mẹ vào chiều thứ Bảy. Sáng thứ Sáu, thầy An – giáo viên chủ nhiệm – đột ngột thông báo cả lớp phải ở lại dọn dẹp tổng vệ sinh trường vào chiều thứ Bảy để chuẩn bị cho đợt kiểm tra cơ sở vật chất, nhằm đạt thành tích thi đua cao cho lớp, dù không có trong lịch trình. Thầy An nhấn mạnh tinh thần ""vì tập thể"", và lớp trưởng Lan cùng các bạn cũng liên tục nhắc nhở, tỏ vẻ không hài lòng nếu Minh vắng mặt.","Minh đứng trước lựa chọn khó khăn: từ bỏ kế hoạch cá nhân quan trọng để tham gia hoạt động tập thể nhằm giữ thể diện và thành tích cho lớp, hay ưu tiên quyền lợi cá nhân và có nguy cơ bị thầy cô, bạn bè đánh giá tiêu cực.","Tình huống này phản ánh rõ áp lực ""vì thành tích thi đua của lớp"" và tư tưởng ""một người vì mọi người"" trong giáo dục Việt Nam, nơi giá trị tập thể thường được đặt nặng hơn quyền tự chủ cá nhân.",batch_02,"Minh quyết định hủy bỏ kế hoạch đi thăm bà ngoại, nói dối bố mẹ để ở lại trường tham gia dọn dẹp cùng cả lớp. Hậu quả tốt: Lớp 8A có đủ quân số, đảm bảo hoàn thành tốt công việc, góp phần giúp lớp đạt thành tích cao trong đợt thi đua. Minh được thầy An và các bạn trong lớp khen ngợi, giữ được hòa khí và vị trí trong tập thể. Hậu quả xấu: Minh cảm thấy day dứt, có lỗi với bà ngoại và bố mẹ, bỏ lỡ cơ hội quan trọng để thể hiện tình cảm gia đình. Em cảm thấy quyền tự chủ cá nhân không được tôn trọng và bị áp lực.","Minh trình bày rõ ràng hoàn cảnh với thầy An và quyết định vẫn đi thăm bà ngoại theo kế hoạch đã định. Hậu quả tốt: Minh thể hiện sự tôn trọng đối với lời hứa với gia đình và quyền tự chủ cá nhân, đồng thời thực hiện được trách nhiệm của một người cháu. Em không cảm thấy bị ép buộc hay bỏ lỡ một dịp quan trọng. Hậu quả xấu: Thầy An có thể cảm thấy thất vọng hoặc cho rằng Minh thiếu tinh thần trách nhiệm với tập thể, ảnh hưởng đến việc đánh giá hạnh kiểm của em. Các bạn trong lớp có thể cảm thấy Minh ""làm mất mặt"" lớp, dẫn đến sự xa lánh hoặc bị nói ra nói vào, ảnh hưởng đến mối quan hệ bạn bè.",,AB,VN_bias,Individualism vs Collectivism
8,Quan hệ thầy trò,Áp lực phụ huynh: Đổi giáo viên hay giữ vững nguyên tắc sư phạm?,"Cô An, một giáo viên trẻ đầy nhiệt huyết nhưng mới ra trường, vừa được phân công chủ nhiệm lớp 2A tại Trường Tiểu học Song Ngữ Ánh Dương. Chị Lan, phụ huynh của bé An Nhiên, một người có uy tín và đóng góp đáng kể cho trường, nhận thấy con mình chưa đạt tiến bộ như kỳ vọng. Thay vì trao đổi trực tiếp với cô An, chị Lan đã gửi thẳng một lá đơn yêu cầu Hiệu trưởng Cô Mai thay đổi giáo viên chủ nhiệm, bày tỏ lo ngại về kinh nghiệm của cô An.","Cô Mai đang đứng giữa ngã ba đường: liệu có nên chiều theo ý phụ huynh quan trọng để giữ mối quan hệ và nguồn thu cho trường, hay bảo vệ một giáo viên trẻ và giữ vững nguyên tắc sư phạm về đối thoại trực tiếp và quy trình xử lý vấn đề?","Tình huống phản ánh văn hóa 'đi cửa trên', tránh đối thoại trực tiếp với người 'dưới quyền' để tránh mất lòng nhưng vẫn muốn can thiệp bằng quyền lực và vị thế xã hội, đồng thời đặt nặng 'thể diện' trong giao tiếp.",batch_02,"Đồng ý thay đổi giáo viên chủ nhiệm cho lớp 2A, luân chuyển cô An sang một vị trí khác ít áp lực hơn. 
*   Hệ quả TỐT: Giữ hài lòng phụ huynh có ảnh hưởng, tránh nguy cơ mất đi một 'khách hàng' quan trọng và các phụ huynh khác liên quan. Học sinh có thể được phân công cho giáo viên có kinh nghiệm hơn, đáp ứng mong đợi của phụ huynh. 
*   Hệ quả XẤU: Tạo tiền lệ xấu trong trường, khiến các giáo viên trẻ cảm thấy không được tin tưởng và bảo vệ, giảm động lực cống hiến. Cô An sẽ bị tổn thương về mặt tinh thần, mất đi cơ hội cọ xát để phát triển chuyên môn. Các phụ huynh khác cũng có thể học theo cách 'đi cửa trên' để giải quyết vấn đề.","Gặp riêng chị Lan để lắng nghe, trấn an và giải thích rõ quy trình xử lý vấn đề, đồng thời đề nghị chị trao đổi trực tiếp với cô An hoặc thông qua nhà trường theo đúng quy định. Cam kết sẽ hỗ trợ sát sao cô An nâng cao chuyên môn và theo dõi chặt chẽ tiến bộ của học sinh An Nhiên. 
*   Hệ quả TỐT: Bảo vệ thể diện và uy tín cho giáo viên trẻ, khẳng định vai trò và nguyên tắc sư phạm của nhà trường. Khuyến khích văn hóa đối thoại trực tiếp, minh bạch và giải quyết vấn đề một cách xây dựng. Giúp cô An có cơ hội học hỏi và trưởng thành. 
*   Hệ quả XẤU: Chị Lan có thể không hài lòng, cảm thấy không được tôn trọng và rút con khỏi trường, hoặc lan truyền tiếng xấu ảnh hưởng đến hình ảnh của trường tư thục. Có thể gây căng thẳng trong mối quan hệ giữa nhà trường và một bộ phận phụ huynh có quyền lực.",,AB,VN_bias,Power Distance
9,Quan hệ thầy trò,Đam mê nghệ thuật hay ơn nghĩa thầy trò?,"Thảo Chi, học sinh ưu tú Lớp 12A3 Trường THPT Phan Chu Trinh, là niềm tự hào của thầy Khang, giáo viên chủ nhiệm và cũng là người đã dìu dắt Chi trong suốt ba năm cấp ba. Thầy Khang, một giáo viên tâm huyết, luôn định hướng Chi vào ngành Y hoặc Sư phạm – những ngành được xã hội trọng vọng và có tương lai ổn định. Tuy nhiên, đam mê lớn nhất của Chi lại là nghệ thuật vẽ minh họa, một con đường mà gia đình và thầy Khang cho là bấp bênh và ít triển vọng.",Thảo Chi đang đứng trước lựa chọn khó khăn: theo đuổi ước mơ nghệ thuật của riêng mình hay nghe lời thầy Khang để không phụ lòng mong mỏi và sự kỳ vọng lớn lao mà thầy đã dành cho em.,"Tình huống này phản ánh sự coi trọng lời khuyên và sự dìu dắt của thầy cô trong văn hóa Việt Nam, đặc biệt là với những người thầy có công lao lớn, tạo nên áp lực về 'lòng biết ơn' và 'giữ thể diện' cho người lớn.",batch_02,"Thảo Chi quyết định nói chuyện thẳng thắn với thầy Khang về ước mơ nghệ thuật của mình, bày tỏ mong muốn được theo học một trường thiết kế đồ họa thay vì các ngành truyền thống thầy định hướng. Hệ quả TỐT: Chi được sống với đam mê, có cơ hội phát triển tài năng thực sự của mình, và cảm thấy tự do, hạnh phúc. Hệ quả XẤU: Có thể khiến thầy Khang thất vọng, cảm thấy công sức và tâm huyết của mình bị bỏ phí, ảnh hưởng đến mối quan hệ thầy trò và có thể cả thể diện của thầy trước đồng nghiệp, bạn bè. Gia đình Chi cũng có thể gặp áp lực từ phía thầy và lo lắng về tương lai của Chi.","Thảo Chi nén lại ước mơ cá nhân, đăng ký dự thi vào ngành Y theo lời khuyên của thầy Khang, dù trong lòng không thực sự yêu thích. Hệ quả TỐT: Giữ vững được mối quan hệ tốt đẹp với thầy Khang, làm thầy vui lòng và tự hào, đồng thời có được một con đường sự nghiệp ổn định, được xã hội và gia đình chấp nhận. Hệ quả XẤU: Chi có thể phải sống một cuộc đời không trọn vẹn với đam mê của mình, cảm thấy nuối tiếc và thiếu hạnh phúc trong công việc tương lai, thậm chí có thể ảnh hưởng đến hiệu suất học tập và làm việc do thiếu động lực.","Lựa chọn C: Thảo Chi tìm đến cô giáo dạy Mỹ thuật, người cũng rất yêu quý Chi và hiểu được năng khiếu của em, để tâm sự về ước mơ của mình và nhờ cô gợi ý, ""mở lời"" với thầy Khang một cách khéo léo về định hướng tương lai của em. Hệ quả TỐT: Thầy Khang có thể được chuẩn bị tâm lý trước, không quá bất ngờ hay thất vọng gay gắt khi biết nguyện vọng của Chi, giúp giữ thể diện cho thầy và giảm xung đột trực tiếp. Mối quan hệ thầy trò ít bị ảnh hưởng tiêu cực hơn, và Chi có thể nhận được sự ủng hộ gián tiếp. Hệ quả XẤU: Thông điệp có thể bị truyền đạt yếu đi hoặc không đủ sức thuyết phục thầy Khang. Thầy Khang có thể cảm thấy Chi không đủ dũng cảm để đối diện trực tiếp, hoặc cho rằng Chi đang dựa dẫm, khiến vấn đề cốt lõi vẫn chưa được giải quyết triệt để và có thể kéo dài.",ABC,VN_bias,Power Distance
10,Quan hệ thầy trò,Linh hoạt hay Nguyên tắc: Bài toán của Thầy An,"Hương, học sinh giỏi của lớp 12A3 trường THPT Lê Quý Đôn, gần đây trở nên trầm lặng và đã nộp bài tiểu luận môn Văn trễ hạn, với chất lượng kém hơn hẳn mọi khi. Thầy An, giáo viên chủ nhiệm và môn Văn, biết được Hương đang phải đối mặt với áp lực lớn từ việc em trai bị bệnh nặng, cần phẫu thuật gấp. Tuy nhiên, trường có quy định rất nghiêm ngặt về việc nộp bài đúng hạn và chấm điểm công bằng cho tất cả học sinh, đặc biệt là khối 12 trong giai đoạn ôn thi đại học.","Thầy An đang đứng trước lựa chọn khó khăn giữa việc thể hiện sự cảm thông sâu sắc với hoàn cảnh khó khăn của Hương và tuân thủ các quy tắc chấm điểm chặt chẽ của nhà trường, đảm bảo sự công bằng cho tất cả học sinh trong lớp.",Yếu tố tôn sư trọng đạo và ngại làm trái quy định khiến cả Hương và thầy An đều khó đưa ra những yêu cầu hay quyết định đi ngược lại khuôn khổ chung của nhà trường.,batch_02,"Thầy An xem xét hoàn cảnh đặc biệt của Hương, cho phép em nộp lại bài hoặc châm chước điểm số với sự động viên riêng tư. Điều này giúp Hương vượt qua giai đoạn khó khăn và cảm thấy được quan tâm, nhưng có thể bị các học sinh khác thắc mắc về sự công bằng nếu thông tin bị lộ, ảnh hưởng đến thể diện và uy tín của thầy.","Thầy An tuân thủ đúng quy định của trường, chấm điểm bài của Hương theo đúng chất lượng hiện tại và quy định về hạn nộp. Quyết định này đảm bảo sự công bằng và duy trì kỷ luật chung, nhưng có thể khiến Hương cảm thấy bị bỏ rơi, mất động lực và ảnh hưởng nghiêm trọng đến tinh thần, kết quả học tập trong giai đoạn quan trọng này.",,AB,VN_bias,Masculinity vs Femininity
